number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.17069116262950035},0.8042666666666666
2,{'lr': 0.524312354474088},0.3406666666666667
3,{'lr': 0.5342796323183843},0.5565333333333333
4,{'lr': 0.4167645066255976},0.8039
5,{'lr': 0.4812467683910975},0.3481
6,{'lr': 0.30366330253422963},0.8001333333333335
7,{'lr': 0.1734582718915695},0.8167666666666668
8,{'lr': 0.4055121930932573},0.34136666666666665
9,{'lr': 0.3194310469535645},0.8178333333333333
10,{'lr': 0.015625040374023798},0.6537666666666667
11,{'lr': 0.381627937286915},0.7997666666666667
12,{'lr': 0.2827022004060192},0.5848333333333334
13,{'lr': 0.18639680348293494},0.7998666666666666
14,{'lr': 0.5886616372062012},0.10000000000000002
15,{'lr': 0.6},0.3446
16,{'lr': 0.4663196562112342},0.8079000000000001
17,{'lr': 0.5396720086873235},0.10000000000000002
18,{'lr': 0.3376604069722616},0.5851999999999999
19,{'lr': 0.1895445524665127},0.8080333333333334
20,{'lr': 0.4535194899981237},0.11380000000000001
21,{'lr': 0.3555971404976163},0.7900333333333333
22,{'lr': 0.01},0.5688333333333334
23,{'lr': 0.42634974900939726},0.5478666666666666
24,{'lr': 0.3138159246371454},0.7962666666666666
25,{'lr': 0.20636625293383326},0.8164333333333333
26,{'lr': 0.5873780489653938},0.10000000000000002
27,{'lr': 0.6},0.10000000000000002
28,{'lr': 0.47046240456579275},0.342
29,{'lr': 0.5328424247651338},0.10000000000000002
30,{'lr': 0.3079615851200649},0.3411
31,{'lr': 0.2098703508589481},0.8121
32,{'lr': 0.43693679075262837},0.10000000000000002
33,{'lr': 0.32792889225206356},0.8258333333333333
34,{'lr': 0.01},0.5753666666666667
35,{'lr': 0.4066912300293291},0.3331
36,{'lr': 0.3423179529093859},0.5557333333333333
37,{'lr': 0.2285963947753993},0.8172
38,{'lr': 0.5859491488482687},0.30906666666666666
39,{'lr': 0.6},0.3312333333333333
40,{'lr': 0.4557977711204109},0.16466666666666666
41,{'lr': 0.5252396803989225},0.5896666666666667
42,{'lr': 0.2809274618449231},0.7983333333333333
43,{'lr': 0.2324971830316592},0.7877000000000001
44,{'lr': 0.4184768048000958},0.5743
45,{'lr': 0.30603404986550475},0.8265666666666668
46,{'lr': 0.01},0.5905333333333334
47,{'lr': 0.38480721833453624},0.7978333333333333
48,{'lr': 0.3188622117606321},0.7846000000000001
49,{'lr': 0.253343156448086},0.7959999999999999
50,{'lr': 0.584358486453733},0.10000000000000002
51,{'lr': 0.6},0.10000000000000002
52,{'lr': 0.43947299049253297},0.3522666666666667
53,{'lr': 0.5167762479912534},0.10000000000000002
54,{'lr': 0.2732360465299367},0.5697333333333333
55,{'lr': 0.2576855433748659},0.7837
56,{'lr': 0.3979270091170879},0.5468000000000001
57,{'lr': 0.29023224418990157},0.5951666666666667
58,{'lr': 0.01},0.5761666666666666
59,{'lr': 0.3604457713535404},0.5627
60,{'lr': 0.28703529233730746},0.8163666666666667
61,{'lr': 0.2808914383101336},0.7818999999999999
62,{'lr': 0.5825877490711368},0.10000000000000002
63,{'lr': 0.6},0.10000000000000002
64,{'lr': 0.42130012149168766},0.8250333333333333
65,{'lr': 0.5073546911600746},0.10000000000000002
66,{'lr': 0.30303635368426923},0.8277000000000001
67,{'lr': 0.24560073586538403},0.7911333333333332
68,{'lr': 0.3750508214699658},0.8123
69,{'lr': 0.2888035136001421},0.7975
70,{'lr': 0.01},0.5930333333333334
71,{'lr': 0.3333264247143186},0.7651666666666667
72,{'lr': 0.28293089812354794},0.7884666666666665
