number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.010981069413565449},0.5952666666666667
2,{'lr': 0.028355269265518537},0.6786333333333333
3,{'lr': 0.015306767441985381},0.6555333333333333
4,{'lr': 0.02245777975590671},0.6862
5,{'lr': 0.030185947933134824},0.69
6,{'lr': 0.030959402110753157},0.6910333333333334
7,{'lr': 0.03732881689405671},0.6920666666666667
8,{'lr': 0.026650309794707304},0.6708333333333334
9,{'lr': 0.025996650002909436},0.7000000000000001
10,{'lr': 0.004344481862177882},0.21876666666666666
11,{'lr': 0.012783097710707462},0.6350333333333333
12,{'lr': 0.03210181180967892},0.6984333333333334
13,{'lr': 0.010859007001465915},0.5947666666666667
14,{'lr': 0.03666931337638296},0.6987
15,{'lr': 0.01728506358825845},0.6516666666666667
16,{'lr': 0.027908276184282883},0.6844
17,{'lr': 0.0393888847919201},0.6941
18,{'lr': 0.040537892485016505},0.7212333333333333
19,{'lr': 0.05},0.7328666666666667
20,{'lr': 0.03413650457520484},0.7119
21,{'lr': 0.033165457871757884},0.7067
22,{'lr': 0.001},0.20023333333333335
23,{'lr': 0.013536016753962626},0.6368
24,{'lr': 0.04223500340731525},0.7095666666666668
25,{'lr': 0.012105548116593787},0.6110666666666668
26,{'lr': 0.04117922656190265},0.719
27,{'lr': 0.01934409461665894},0.6875333333333332
28,{'lr': 0.03131047202367497},0.7041666666666666
29,{'lr': 0.03882305295362689},0.7192333333333333
30,{'lr': 0.04553693636243239},0.7315333333333333
31,{'lr': 0.05},0.7135666666666666
32,{'lr': 0.03689566630408744},0.7128333333333332
33,{'lr': 0.03723235484404911},0.7124666666666667
34,{'lr': 0.001},0.20026666666666668
35,{'lr': 0.015121030366532614},0.6425
36,{'lr': 0.04441738499839664},0.7221333333333333
37,{'lr': 0.01353350144724725},0.6245333333333333
38,{'lr': 0.037712864957059965},0.7161
39,{'lr': 0.021702781529783104},0.6794333333333333
40,{'lr': 0.035207797849062555},0.6953666666666667
41,{'lr': 0.037145640229667785},0.7311333333333333
42,{'lr': 0.04653218565137162},0.7268
43,{'lr': 0.0427198471702881},0.7289
44,{'lr': 0.04151113739266514},0.7225333333333334
45,{'lr': 0.041891117404329374},0.7148
46,{'lr': 0.001},0.20056666666666667
47,{'lr': 0.01693671493540319},0.6426333333333334
48,{'lr': 0.05},0.7196333333333333
49,{'lr': 0.016804675506318454},0.6661666666666667
50,{'lr': 0.047294718199522814},0.7252000000000001
51,{'lr': 0.027106092182906213},0.7032333333333334
52,{'lr': 0.0343471308327708},0.6950333333333334
53,{'lr': 0.04488424556160611},0.7269
54,{'lr': 0.04539739466697498},0.7212999999999999
55,{'lr': 0.04224533516754025},0.7169333333333333
56,{'lr': 0.05},0.7316666666666668
57,{'lr': 0.04786953446974443},0.7214333333333333
58,{'lr': 0.001},0.20026666666666668
59,{'lr': 0.021096108757067713},0.6815333333333333
60,{'lr': 0.0483332008307671},0.7222666666666666
61,{'lr': 0.022524590024780806},0.6963333333333334
62,{'lr': 0.04695615239453701},0.7117666666666667
63,{'lr': 0.03655422135440515},0.7000666666666667
64,{'lr': 0.04641588464699328},0.7238333333333333
65,{'lr': 0.03554623838569121},0.6969666666666666
66,{'lr': 0.046572357736098496},0.7259000000000001
67,{'lr': 0.03862602490374517},0.6949666666666667
68,{'lr': 0.048753221809491654},0.7176999999999999
69,{'lr': 0.05},0.7300000000000001
70,{'lr': 0.001},0.20083333333333334
71,{'lr': 0.02836914794083304},0.6869666666666667
72,{'lr': 0.04322055446198223},0.7149333333333333
