number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.0366491230586701},0.7193999999999999
2,{'lr': 0.21221958130435523},0.7922000000000001
3,{'lr': 0.011653394578387516},0.5961666666666666
4,{'lr': 0.015536683027008492},0.6539
5,{'lr': 0.5723078770001522},0.10000000000000002
6,{'lr': 0.18357005054508807},0.8050999999999999
7,{'lr': 0.44908402624379484},0.10000000000000002
8,{'lr': 0.5064831121344955},0.10000000000000002
9,{'lr': 0.5901858785858536},0.10000000000000002
10,{'lr': 0.4766620693425464},0.3363666666666667
11,{'lr': 0.09128548543311014},0.7427333333333334
12,{'lr': 0.557568893806322},0.10000000000000002
13,{'lr': 0.1697294452652843},0.8115
14,{'lr': 0.24774219935485808},0.8210666666666665
15,{'lr': 0.1392227564895329},0.7816666666666667
16,{'lr': 0.0523399343035381},0.7348
17,{'lr': 0.0828305754284332},0.7683
18,{'lr': 0.06283935847268016},0.7427
19,{'lr': 0.4299824563920034},0.33676666666666666
20,{'lr': 0.27858506362806984},0.8273333333333333
21,{'lr': 0.2897116436920648},0.8412666666666667
22,{'lr': 0.294977818033995},0.8267333333333333
23,{'lr': 0.45915129632024904},0.10000000000000002
24,{'lr': 0.5769033838784214},0.10000000000000002
25,{'lr': 0.4800098230485686},0.3287
26,{'lr': 0.3667689382306796},0.8175333333333334
27,{'lr': 0.6},0.10000000000000002
28,{'lr': 0.5034616361641859},0.2708333333333333
29,{'lr': 0.436971013383645},0.35263333333333335
30,{'lr': 0.5722631722379482},0.3284333333333333
31,{'lr': 0.5630627785986176},0.10000000000000002
32,{'lr': 0.29292818735180237},0.8171333333333334
33,{'lr': 0.5325560898228662},0.10000000000000002
34,{'lr': 0.44567326763687143},0.4030666666666667
35,{'lr': 0.4761639087617665},0.3473333333333333
36,{'lr': 0.4561726918060135},0.10000000000000002
37,{'lr': 0.036649123058670074},0.7157
38,{'lr': 0.5957855055693126},0.10000000000000002
39,{'lr': 0.5052067867551647},0.5845333333333333
40,{'lr': 0.5033585203858431},0.5776333333333333
41,{'lr': 0.27559704659100603},0.8315
42,{'lr': 0.4076736968489124},0.8254666666666667
43,{'lr': 0.5567259032341013},0.10000000000000002
44,{'lr': 0.39279070815578876},0.5786
45,{'lr': 0.3130339615288631},0.5844
46,{'lr': 0.6},0.10000000000000002
47,{'lr': 0.2372926153397644},0.8274
48,{'lr': 0.45624776763622604},0.34299999999999997
49,{'lr': 0.4761159948892382},0.10000000000000002
50,{'lr': 0.5416888249790915},0.10000000000000002
51,{'lr': 0.3004380354793023},0.5649333333333333
52,{'lr': 0.17533145445448256},0.7967333333333334
53,{'lr': 0.44583607123147684},0.10000000000000002
54,{'lr': 0.23201630951390959},0.8065333333333333
55,{'lr': 0.01},0.5713333333333334
56,{'lr': 0.20245217223597933},0.8085666666666667
57,{'lr': 0.2899653375027528},0.7867666666666667
58,{'lr': 0.11002518705250974},0.7719333333333335
59,{'lr': 0.1770285203710385},0.8050666666666665
60,{'lr': 0.19664661138177758},0.8149666666666665
61,{'lr': 0.163392569900768},0.8029000000000001
62,{'lr': 0.2629778229073969},0.8420666666666667
63,{'lr': 0.09069871865634146},0.7641666666666667
64,{'lr': 0.483520323133523},0.3416333333333333
65,{'lr': 0.15621307217212593},0.7965666666666666
66,{'lr': 0.3493166666462014},0.7471
67,{'lr': 0.08278266155590491},0.7591
68,{'lr': 0.4520753532728675},0.10000000000000002
69,{'lr': 0.13343285486042497},0.7958666666666666
70,{'lr': 0.1841766684722235},0.7974333333333333
71,{'lr': 0.052502737898143526},0.7256999999999999
72,{'lr': 0.146074308218165},0.7942333333333332
