number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.43175781249999995},0.5046666666666667
2,{'lr': 0.32228515625},0.7909
3,{'lr': 0.359736328125},0.5741999999999999
4,{'lr': 0.509541015625},0.3510333333333333
5,{'lr': 0.4363671875},0.8317
6,{'lr': 0.1551953125},0.7968333333333334
7,{'lr': 0.5619726562499999},0.10000000000000002
8,{'lr': 0.558515625},0.10000000000000002
9,{'lr': 0.44097656249999995},0.10000000000000002
10,{'lr': 0.434638671875},0.5866333333333333
11,{'lr': 0.156923828125},0.7945666666666665
12,{'lr': 0.156923828125},0.7840666666666666
13,{'lr': 0.321708984375},0.8213333333333334
14,{'lr': 0.10161132812499998},0.7607666666666667
15,{'lr': 0.45019531249999994},0.10000000000000002
16,{'lr': 0.36146484375},0.8119666666666667
17,{'lr': 0.320556640625},0.7884000000000001
18,{'lr': 0.3626171875},0.5740999999999999
19,{'lr': 0.43751953125},0.33403333333333335
20,{'lr': 0.364345703125},0.5812333333333334
21,{'lr': 0.43751953125},0.3450666666666667
22,{'lr': 0.43406249999999996},0.10000000000000002
23,{'lr': 0.36204101562499996},0.5705
24,{'lr': 0.09757812499999999},0.7768666666666667
25,{'lr': 0.09930664062499998},0.7787333333333333
26,{'lr': 0.364345703125},0.35133333333333333
27,{'lr': 0.364345703125},0.8317
28,{'lr': 0.36204101562499996},0.5615
29,{'lr': 0.39373046874999995},0.3475333333333333
30,{'lr': 0.10045898437499999},0.7603333333333334
31,{'lr': 0.36146484375},0.26416666666666666
32,{'lr': 0.320556640625},0.3373333333333333
33,{'lr': 0.10161132812499998},0.7618333333333333
34,{'lr': 0.10045898437499999},0.7618999999999999
35,{'lr': 0.31998046874999997},0.8396333333333333
36,{'lr': 0.31998046874999997},0.5818333333333333
37,{'lr': 0.09930664062499998},0.7714
38,{'lr': 0.09873046874999998},0.7740666666666666
39,{'lr': 0.395458984375},0.33546666666666664
40,{'lr': 0.36319335937499997},0.574
41,{'lr': 0.321708984375},0.8247666666666666
42,{'lr': 0.24911132812499998},0.8236333333333333
43,{'lr': 0.09988281249999999},0.7549333333333332
44,{'lr': 0.10045898437499999},0.7624000000000001
45,{'lr': 0.395458984375},0.5813
46,{'lr': 0.32228515625},0.8431000000000001
47,{'lr': 0.140791015625},0.7940666666666667
48,{'lr': 0.09815429687499999},0.7696
