number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.4271484375},0.33486666666666665
2,{'lr': 0.479580078125},0.34156666666666663
3,{'lr': 0.463447265625},0.3453
4,{'lr': 0.30384765625},0.8207999999999999
5,{'lr': 0.050908203124999996},0.7235
6,{'lr': 0.511845703125},0.10000000000000002
7,{'lr': 0.30442382812499996},0.8184
8,{'lr': 0.42830078125},0.5685333333333333
9,{'lr': 0.02267578125},0.7029666666666666
10,{'lr': 0.30442382812499996},0.8010666666666667
11,{'lr': 0.41908203125},0.31866666666666665
12,{'lr': 0.355126953125},0.5842
13,{'lr': 0.300966796875},0.8176333333333333
14,{'lr': 0.298662109375},0.8279666666666667
15,{'lr': 0.356279296875},0.5784666666666666
16,{'lr': 0.15461914062499998},0.7995000000000001
17,{'lr': 0.168447265625},0.8081999999999999
18,{'lr': 0.30442382812499996},0.8089
19,{'lr': 0.302119140625},0.8151999999999999
20,{'lr': 0.153466796875},0.8053
21,{'lr': 0.299814453125},0.8033333333333332
22,{'lr': 0.29578125},0.8199000000000001
23,{'lr': 0.302119140625},0.8318666666666666
24,{'lr': 0.298662109375},0.8248666666666667
25,{'lr': 0.30039062499999997},0.8077
26,{'lr': 0.30154296875},0.6111333333333333
27,{'lr': 0.302119140625},0.8230333333333334
28,{'lr': 0.299814453125},0.8054666666666667
29,{'lr': 0.299814453125},0.5781333333333333
30,{'lr': 0.303271484375},0.8146
31,{'lr': 0.303271484375},0.5913
32,{'lr': 0.300966796875},0.8237333333333333
33,{'lr': 0.29635742187499997},0.8221333333333334
34,{'lr': 0.3026953125},0.8307333333333333
35,{'lr': 0.29923828124999996},0.8253666666666667
36,{'lr': 0.3026953125},0.8179333333333334
37,{'lr': 0.30039062499999997},0.8160333333333334
38,{'lr': 0.302119140625},0.8143333333333334
39,{'lr': 0.303271484375},0.8267333333333333
40,{'lr': 0.299814453125},0.8151666666666667
41,{'lr': 0.30384765625},0.8334
42,{'lr': 0.30442382812499996},0.8070333333333334
43,{'lr': 0.30384765625},0.8351666666666667
44,{'lr': 0.30154296875},0.8274
45,{'lr': 0.30154296875},0.8233666666666667
46,{'lr': 0.300966796875},0.8148333333333332
47,{'lr': 0.30154296875},0.8131
48,{'lr': 0.30154296875},0.7804333333333334
