number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.03997789719907919},0.7065333333333333
2,{'lr': 0.04947089864300966},0.7005666666666667
3,{'lr': 0.279608507088887},0.8238
4,{'lr': 0.2228224612560141},0.8296333333333333
5,{'lr': 0.20992740125506595},0.8298000000000001
6,{'lr': 0.1365657759639708},0.7878
7,{'lr': 0.3760397412828614},0.5965666666666667
8,{'lr': 0.39850436135308276},0.8350666666666666
9,{'lr': 0.29893613704043465},0.8345666666666666
10,{'lr': 0.2091512937954508},0.8224
11,{'lr': 0.03276815423670953},0.6997666666666668
12,{'lr': 0.2999203286270586},0.8295333333333333
13,{'lr': 0.06997789719907918},0.749
14,{'lr': 0.07947089864300966},0.7637333333333335
15,{'lr': 0.309608507088887},0.8387666666666668
16,{'lr': 0.2528224612560141},0.8344666666666667
17,{'lr': 0.23992740125506595},0.8201666666666666
18,{'lr': 0.1665657759639708},0.8062
19,{'lr': 0.40603974128286136},0.5793
20,{'lr': 0.4285043613530828},0.8431000000000001
21,{'lr': 0.3289361370404347},0.8344
22,{'lr': 0.2391512937954508},0.8332
23,{'lr': 0.06276815423670953},0.7336
24,{'lr': 0.32992032862705856},0.5902333333333333
25,{'lr': 0.09997789719907918},0.7762666666666668
26,{'lr': 0.10947089864300966},0.7879666666666667
27,{'lr': 0.339608507088887},0.8370000000000001
28,{'lr': 0.28282246125601407},0.8216999999999999
29,{'lr': 0.269927401255066},0.8258666666666666
30,{'lr': 0.1965657759639708},0.8153333333333334
31,{'lr': 0.40753361915115865},0.5954
32,{'lr': 0.4530043613530828},0.8284333333333334
33,{'lr': 0.3589361370404347},0.8448000000000001
34,{'lr': 0.2691512937954508},0.5832999999999999
35,{'lr': 0.09276815423670953},0.7688666666666668
36,{'lr': 0.3599203286270586},0.8448333333333333
37,{'lr': 0.12997789719907918},0.7953666666666667
38,{'lr': 0.13947089864300966},0.7865333333333333
39,{'lr': 0.31829636244595944},0.8442333333333334
40,{'lr': 0.3128224612560141},0.8373666666666667
41,{'lr': 0.299927401255066},0.8381666666666666
42,{'lr': 0.2265657759639708},0.8064333333333332
43,{'lr': 0.3775336191511587},0.10000000000000002
44,{'lr': 0.42300436135308284},0.8515333333333333
45,{'lr': 0.38116540693550954},0.8372999999999999
46,{'lr': 0.2991512937954508},0.8186333333333334
47,{'lr': 0.12276815423670953},0.7667333333333333
48,{'lr': 0.3819203286270586},0.8384333333333333
49,{'lr': 0.15997789719907918},0.8097333333333333
50,{'lr': 0.16947089864300965},0.8081333333333333
51,{'lr': 0.30553387152530137},0.8402666666666666
52,{'lr': 0.3350315510379751},0.8279
53,{'lr': 0.32992740125506603},0.8421333333333333
54,{'lr': 0.2565657759639708},0.8140333333333333
55,{'lr': 0.38847362645015027},0.8275666666666668
56,{'lr': 0.4035043613530828},0.5969333333333333
57,{'lr': 0.4111654069355095},0.5678333333333333
58,{'lr': 0.32915129379545083},0.8210000000000001
59,{'lr': 0.15276815423670953},0.8132
60,{'lr': 0.41192032862705863},0.5811333333333334
61,{'lr': 0.18997789719907918},0.8221333333333334
62,{'lr': 0.19947089864300965},0.8344333333333335
63,{'lr': 0.33553387152530134},0.8313
64,{'lr': 0.36503155103797513},0.8435
65,{'lr': 0.35992740125506606},0.8420333333333333
66,{'lr': 0.2865657759639708},0.8164333333333333
67,{'lr': 0.409113191333037},0.5702
68,{'lr': 0.40809488113640113},0.5754
69,{'lr': 0.44116540693550954},0.8308
70,{'lr': 0.35915129379545085},0.8281000000000001
71,{'lr': 0.18276815423670953},0.8053
72,{'lr': 0.3819203286270586},0.6011666666666667
