number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.5496940574888917},0.5784
2,{'lr': 0.16642161765024255},0.8019666666666666
3,{'lr': 0.42688600755740014},0.5840000000000001
4,{'lr': 0.09896187094611743},0.7616999999999999
5,{'lr': 0.12544141761996433},0.7850666666666667
6,{'lr': 0.5668182321875683},0.10000000000000002
7,{'lr': 0.09290188775490305},0.7523
8,{'lr': 0.44131141717322403},0.5661333333333333
9,{'lr': 0.2565056310926338},0.8039999999999999
10,{'lr': 0.08515737260080503},0.7362666666666667
11,{'lr': 0.2283525188924363},0.8093
12,{'lr': 0.18091395505332072},0.8095666666666667
13,{'lr': 0.2338625206687211},0.8167
14,{'lr': 0.5935383469502307},0.10000000000000002
15,{'lr': 0.37283699542709103},0.5914333333333334
16,{'lr': 0.5154592509874496},0.11186666666666667
17,{'lr': 0.6},0.10000000000000002
18,{'lr': 0.5178567253735151},0.31416666666666665
19,{'lr': 0.4749061807270296},0.34476666666666667
20,{'lr': 0.022070979842218286},0.6589999999999999
21,{'lr': 0.35692594513248377},0.6114333333333333
22,{'lr': 0.5386823054445062},0.3346
23,{'lr': 0.40904350419638474},0.5723666666666666
24,{'lr': 0.1908384325404572},0.8091666666666666
25,{'lr': 0.012220260222362254},0.3774666666666667
26,{'lr': 0.4032394143411418},0.8348333333333334
27,{'lr': 0.5352556367357966},0.3434
28,{'lr': 0.41427440885177774},0.5950666666666667
29,{'lr': 0.4292788611400855},0.5822999999999999
30,{'lr': 0.46440037759917524},0.3451666666666667
31,{'lr': 0.5723251391314028},0.10000000000000002
32,{'lr': 0.01},0.26266666666666666
33,{'lr': 0.3620803185329213},0.8061999999999999
34,{'lr': 0.6},0.10000000000000002
35,{'lr': 0.16422802152015475},0.7810333333333332
36,{'lr': 0.1908298804846651},0.8087333333333334
37,{'lr': 0.25206860827598965},0.8179
38,{'lr': 0.438668395935115},0.5476
39,{'lr': 0.2884122127515629},0.8276
40,{'lr': 0.5190176881223686},0.10000000000000002
41,{'lr': 0.46227269787995706},0.5919333333333333
42,{'lr': 0.39427108631259966},0.8244000000000001
43,{'lr': 0.5139917482000774},0.5217666666666666
44,{'lr': 0.044983214009476365},0.7098
45,{'lr': 0.3984777387365615},0.3414333333333333
46,{'lr': 0.4123420761364253},0.3495333333333333
47,{'lr': 0.4482615895758974},0.8145333333333333
48,{'lr': 0.5168665936280115},0.5142333333333333
49,{'lr': 0.42763385358975553},0.3448333333333333
50,{'lr': 0.4305230951207699},0.8314
51,{'lr': 0.2760395021975991},0.8257333333333334
52,{'lr': 0.21937439223457528},0.8134666666666667
53,{'lr': 0.3743224140371706},0.8180999999999999
54,{'lr': 0.35317788261184646},0.6646333333333333
55,{'lr': 0.33468587322535237},0.8260666666666667
56,{'lr': 0.39459862952466473},0.5925666666666666
57,{'lr': 0.3743242493287315},0.5806666666666667
58,{'lr': 0.2775645408006804},0.8197
59,{'lr': 0.6},0.10000000000000002
60,{'lr': 0.32879813670587577},0.8236
61,{'lr': 0.305344384840042},0.8160333333333334
62,{'lr': 0.385214427918495},0.3374
63,{'lr': 0.3305246744649902},0.8257666666666666
64,{'lr': 0.25391701387569615},0.8289
65,{'lr': 0.36830172948329165},0.8261
66,{'lr': 0.4108384467006926},0.8071
67,{'lr': 0.34641608628165316},0.5842666666666666
68,{'lr': 0.4128036168726274},0.5777666666666667
69,{'lr': 0.3651426288546028},0.8019333333333334
70,{'lr': 0.30781871180510784},0.8329333333333334
71,{'lr': 0.3277912731708019},0.8257333333333333
72,{'lr': 0.3040111309632661},0.8226
