number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.058888258083284545},0.7350333333333333
2,{'lr': 0.28063606336671937},0.7584333333333334
3,{'lr': 0.10208114046987889},0.7721666666666667
4,{'lr': 0.5011789802733997},0.3353333333333333
5,{'lr': 0.4373148520782332},0.5958
6,{'lr': 0.22128755098961647},0.8058333333333333
7,{'lr': 0.352695613694582},0.8035666666666667
8,{'lr': 0.43315087169812583},0.7922666666666666
9,{'lr': 0.0122019358003481},0.5830666666666667
10,{'lr': 0.12225118615338934},0.7826333333333334
11,{'lr': 0.47481692215820687},0.34013333333333334
12,{'lr': 0.36661556760498343},0.5744333333333334
13,{'lr': 0.08888825808328454},0.7604000000000001
14,{'lr': 0.31063606336671934},0.8111333333333333
15,{'lr': 0.1320811404698789},0.7846000000000001
16,{'lr': 0.5311789802733997},0.10000000000000002
17,{'lr': 0.40731485207823315},0.8225666666666666
18,{'lr': 0.25128755098961647},0.8054333333333332
19,{'lr': 0.38269561369458205},0.34013333333333334
20,{'lr': 0.4031508716981258},0.5634333333333333
21,{'lr': 0.0422019358003481},0.7263333333333334
22,{'lr': 0.15225118615338934},0.7967
23,{'lr': 0.5048169221582068},0.3183666666666667
24,{'lr': 0.3480817257329247},0.8138333333333333
25,{'lr': 0.11888825808328454},0.7813
26,{'lr': 0.34063606336671937},0.8268666666666666
27,{'lr': 0.1620811404698789},0.7853
28,{'lr': 0.5011789802733997},0.10000000000000002
29,{'lr': 0.3828148520782331},0.5975
30,{'lr': 0.28128755098961644},0.5831333333333334
31,{'lr': 0.38782672456492573},0.8300666666666666
32,{'lr': 0.4073271939555282},0.8214666666666667
33,{'lr': 0.0722019358003481},0.7439333333333332
34,{'lr': 0.18225118615338934},0.7971
35,{'lr': 0.4748169221582068},0.3394
36,{'lr': 0.37808172573292465},0.5718666666666667
37,{'lr': 0.14888825808328454},0.7909666666666667
38,{'lr': 0.3706360633667194},0.7821333333333333
39,{'lr': 0.1920811404698789},0.7721999999999999
40,{'lr': 0.47117898027339966},0.10000000000000002
41,{'lr': 0.40778215105423715},0.8308666666666666
42,{'lr': 0.31128755098961647},0.8218666666666666
43,{'lr': 0.39158953920317774},0.7888999999999999
44,{'lr': 0.3789029169561389},0.802
45,{'lr': 0.1022019358003481},0.7549333333333333
46,{'lr': 0.21225118615338934},0.8092
47,{'lr': 0.4448169221582068},0.3358666666666667
48,{'lr': 0.38360635819140276},0.5662666666666667
49,{'lr': 0.17888825808328454},0.7945666666666668
50,{'lr': 0.39347472798284483},0.8312666666666667
51,{'lr': 0.2220811404698789},0.8148
52,{'lr': 0.44117898027339963},0.5656333333333333
53,{'lr': 0.4240108953886398},0.5829
54,{'lr': 0.3412875509896165},0.7997
55,{'lr': 0.4128592583076024},0.7831666666666667
56,{'lr': 0.4089029169561389},0.8010333333333334
57,{'lr': 0.1322019358003481},0.7947333333333334
58,{'lr': 0.24225118615338934},0.8192
59,{'lr': 0.4443942027422283},0.5698
60,{'lr': 0.4136063581914028},0.5558
61,{'lr': 0.20888825808328454},0.8068666666666667
62,{'lr': 0.40641663793198257},0.8198666666666666
63,{'lr': 0.2520811404698789},0.8016333333333333
64,{'lr': 0.41650290822616076},0.5928666666666667
65,{'lr': 0.3954597604424522},0.8324000000000001
66,{'lr': 0.3712875509896165},0.5893
67,{'lr': 0.38285925830760237},0.42806666666666676
68,{'lr': 0.4001256502124723},0.5914666666666667
69,{'lr': 0.1622019358003481},0.8075333333333333
70,{'lr': 0.27225118615338934},0.82
71,{'lr': 0.41439420274222827},0.5891666666666667
72,{'lr': 0.3983198305665551},0.5816
