number_iter,hyper_parameters,test_accuracy
1,"{'batch_size': 881, 'lr': 0.021333984375}",0.8359
2,"{'batch_size': 889, 'lr': 0.014707031249999999}",0.8042
3,"{'batch_size': 507, 'lr': 0.010458984375}",0.8689
4,"{'batch_size': 1002, 'lr': 0.010090820312499998}",0.8479
5,"{'batch_size': 505, 'lr': 0.010402343749999998}",0.869
6,"{'batch_size': 507, 'lr': 0.0104873046875}",0.8465
7,"{'batch_size': 1002, 'lr': 0.010090820312499998}",0.8589
8,"{'batch_size': 1002, 'lr': 0.010147460937499998}",0.8623
9,"{'batch_size': 1001, 'lr': 0.010090820312499998}",0.8268
10,"{'batch_size': 1000, 'lr': 0.010119140624999998}",0.8482
11,"{'batch_size': 1002, 'lr': 0.010119140624999998}",0.8537
12,"{'batch_size': 1001, 'lr': 0.010119140624999998}",0.852
