number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.3109396593415021},0.8236333333333333
2,{'lr': 0.23321229385861658},0.8249666666666666
3,{'lr': 0.3812496974172536},0.5796666666666667
4,{'lr': 0.5741253400149042},0.30166666666666664
5,{'lr': 0.07307459056377957},0.7620333333333335
6,{'lr': 0.1858002245877162},0.7988333333333334
7,{'lr': 0.14902153171949653},0.7924000000000001
8,{'lr': 0.4751477720834545},0.2972666666666666
9,{'lr': 0.2814921156751119},0.8313666666666667
10,{'lr': 0.35682349303438765},0.8164333333333333
11,{'lr': 0.5056202671238534},0.5745333333333333
12,{'lr': 0.3938050774257249},0.5570666666666667
13,{'lr': 0.4664079238971129},0.10000000000000002
14,{'lr': 0.3723769815936624},0.10000000000000002
15,{'lr': 0.5423548650528298},0.10000000000000002
16,{'lr': 0.6},0.10000000000000002
17,{'lr': 0.2566253010234935},0.8258000000000001
18,{'lr': 0.4269163902078092},0.8128333333333333
19,{'lr': 0.42922588612038565},0.3512
20,{'lr': 0.2792281723045653},0.8123666666666667
21,{'lr': 0.16143827305705483},0.8086333333333333
22,{'lr': 0.4561850571451227},0.5722666666666666
23,{'lr': 0.3664836006499441},0.8283333333333333
24,{'lr': 0.5656179750928753},0.33226666666666665
25,{'lr': 0.29728743638583244},0.8350666666666666
26,{'lr': 0.09066141430669378},0.7805333333333332
27,{'lr': 0.11940216536658715},0.7943333333333333
28,{'lr': 0.19002073974105982},0.8189333333333333
29,{'lr': 0.13233885860460817},0.7901666666666666
30,{'lr': 0.4602613803691213},0.3461
31,{'lr': 0.0662112370254761},0.7527666666666667
32,{'lr': 0.17228464175954195},0.8225999999999999
33,{'lr': 0.3271063356515476},0.8261333333333334
34,{'lr': 0.16250747795313794},0.8035666666666667
35,{'lr': 0.025812027564922124},0.7157
36,{'lr': 0.13664071426815544},0.8036
37,{'lr': 0.49217549872105004},0.34276666666666666
38,{'lr': 0.13790968123222047},0.7802333333333333
39,{'lr': 0.04143629857887353},0.7305
40,{'lr': 0.01},0.41809999999999997
41,{'lr': 0.3249097255804695},0.5942666666666666
42,{'lr': 0.25364069504316966},0.8057
43,{'lr': 0.19156587770712658},0.8212
44,{'lr': 0.4055151297962012},0.5837666666666667
45,{'lr': 0.4346030211011605},0.3510333333333333
46,{'lr': 0.029688790236460524},0.6955
47,{'lr': 0.2729095517803},0.8117333333333333
48,{'lr': 0.4033333333333333},0.10000000000000002
49,{'lr': 0.2947244419684064},0.8153
50,{'lr': 0.33509569995028476},0.7924333333333333
51,{'lr': 0.40198973758780865},0.5041333333333333
52,{'lr': 0.01908991003900551},0.6358666666666667
53,{'lr': 0.31560957439116044},0.8304666666666667
54,{'lr': 0.25190931160363994},0.8318
55,{'lr': 0.4292406756864984},0.3295333333333333
56,{'lr': 0.11656818386379264},0.7889333333333335
57,{'lr': 0.2801015000392808},0.8215666666666667
58,{'lr': 0.2809766408388427},0.8158
59,{'lr': 0.4083444344595667},0.3417333333333334
60,{'lr': 0.07866177642243785},0.7656999999999999
61,{'lr': 0.23142317031046455},0.8173666666666666
62,{'lr': 0.4281751768370264},0.3494333333333333
63,{'lr': 0.4770116687076368},0.5717666666666666
64,{'lr': 0.01},0.4168333333333334
65,{'lr': 0.2853586069365935},0.8189000000000001
66,{'lr': 0.27170839510025246},0.8365999999999999
67,{'lr': 0.016891971598617495},0.6383
68,{'lr': 0.44376928159130746},0.34336666666666665
69,{'lr': 0.3269029738268508},0.8203999999999999
70,{'lr': 0.04407702514854844},0.7220333333333334
71,{'lr': 0.4307117632535589},0.5735
72,{'lr': 0.25743841015016655},0.8154
