number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.0824879237302694},0.024206349206349207
2,{'lr': 0.003585680175416866},0.3761904761904762
3,{'lr': 0.021866293353198105},0.024206349206349207
4,{'lr': 0.06222375516561142},0.024206349206349207
5,{'lr': 0.003605896268881688},0.34365079365079365
6,{'lr': 0.002227901902934019},0.2396825396825397
7,{'lr': 0.04051243900131945},0.024206349206349207
8,{'lr': 0.1},0.024206349206349207
9,{'lr': 0.051379406130482426},0.024206349206349207
10,{'lr': 0.07235975434265972},0.024206349206349207
