number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.19359763062885435},0.8069333333333333
2,{'lr': 0.035483645728210514},0.7085
3,{'lr': 0.06276423792691},0.7269666666666668
4,{'lr': 0.5677649284866797},0.5461333333333335
5,{'lr': 0.011866281567885738},0.6056666666666667
6,{'lr': 0.5580109658986996},0.10000000000000002
7,{'lr': 0.41746430733820883},0.5730333333333334
8,{'lr': 0.32590803652486133},0.8117333333333333
9,{'lr': 0.5636498689500694},0.3257
10,{'lr': 0.11928800093787087},0.7747333333333334
11,{'lr': 0.30262156517232297},0.5860666666666666
12,{'lr': 0.33665250307412914},0.5880666666666666
13,{'lr': 0.5085870188282278},0.10000000000000002
14,{'lr': 0.06786778264565153},0.7024666666666667
15,{'lr': 0.4268469137853592},0.3343
16,{'lr': 0.5869309639621877},0.35423333333333334
17,{'lr': 0.4288169790615438},0.8034
18,{'lr': 0.41016598801554216},0.5884333333333334
19,{'lr': 0.3116994881053449},0.8196666666666667
20,{'lr': 0.31268232147764835},0.5779666666666666
21,{'lr': 0.6},0.10000000000000002
22,{'lr': 0.47518426763521926},0.5683666666666668
23,{'lr': 0.35616416781499494},0.8038333333333334
24,{'lr': 0.41813540982296826},0.395
25,{'lr': 0.5126213342712042},0.10000000000000002
26,{'lr': 0.49290368024272135},0.10000000000000002
27,{'lr': 0.3339487357665512},0.8235
28,{'lr': 0.4913083837165847},0.5697
29,{'lr': 0.46120111597898483},0.2961333333333333
30,{'lr': 0.31137334483439993},0.8249
31,{'lr': 0.19359763062885438},0.8043666666666667
32,{'lr': 0.6},0.10000000000000002
33,{'lr': 0.08728304326951913},0.7432666666666666
34,{'lr': 0.3713811489068564},0.5547333333333333
35,{'lr': 0.42461651908619186},0.7948666666666666
36,{'lr': 0.46828560896536187},0.8243666666666667
37,{'lr': 0.39452060407475553},0.5909666666666666
38,{'lr': 0.48126174114961845},0.33613333333333334
39,{'lr': 0.2811855285787447},0.8070666666666666
40,{'lr': 0.519528578951196},0.10000000000000002
41,{'lr': 0.17553287860467814},0.7349666666666667
42,{'lr': 0.28776837157472285},0.8097
43,{'lr': 0.4643552757503746},0.10000000000000002
44,{'lr': 0.5253015446673563},0.10000000000000002
45,{'lr': 0.48897811874373154},0.34346666666666664
46,{'lr': 0.01},0.5862333333333333
47,{'lr': 0.20666666666666667},0.7967666666666666
48,{'lr': 0.01437091774282065},0.6276333333333334
49,{'lr': 0.36264724040262664},0.7857
50,{'lr': 0.45271154015811355},0.3383
51,{'lr': 0.13487364437217125},0.7817
52,{'lr': 0.2193592888785671},0.7738333333333333
53,{'lr': 0.530685757531202},0.3336333333333333
54,{'lr': 0.21949712080838465},0.8113333333333334
55,{'lr': 0.12619524561786266},0.7857
56,{'lr': 0.030594380713939717},0.7006
57,{'lr': 0.2746597049737131},0.8168333333333333
58,{'lr': 0.16143495318203727},0.8029333333333333
59,{'lr': 0.20897992985194735},0.8069000000000001
60,{'lr': 0.09564478541039823},0.7648999999999999
61,{'lr': 0.4033333333333333},0.5786666666666668
62,{'lr': 0.1171229030873979},0.7719999999999999
63,{'lr': 0.04060873796013362},0.7153
64,{'lr': 0.3399764790600508},0.5924666666666666
65,{'lr': 0.182391128796061},0.7922000000000001
66,{'lr': 0.23970390065535463},0.8033
67,{'lr': 0.11345294452635984},0.7773666666666665
68,{'lr': 0.13735242419786864},0.7873666666666667
69,{'lr': 0.3200376410791645},0.5772666666666667
70,{'lr': 0.01},0.5942000000000001
71,{'lr': 0.38425310349071273},0.5796
72,{'lr': 0.3066701908984476},0.8212333333333334
73,{'lr': 0.13449670656273735},0.7639333333333332
74,{'lr': 0.0353296411915249},0.7147
75,{'lr': 0.1151698567536914},0.7517999999999999
76,{'lr': 0.25334981461800404},0.8136000000000001
77,{'lr': 0.2424916978908047},0.8009000000000001
78,{'lr': 0.38320491142062385},0.3374333333333333
79,{'lr': 0.3413401868702823},0.8221000000000002
80,{'lr': 0.0989574934341724},0.7578333333333332
81,{'lr': 0.3609225455290076},0.8244666666666666
82,{'lr': 0.09490610703859373},0.7563666666666666
83,{'lr': 0.01},0.5898666666666667
84,{'lr': 0.26650071635417405},0.8220333333333333
85,{'lr': 0.19998980745601969},0.7841999999999999
86,{'lr': 0.3215055337634263},0.8059666666666666
87,{'lr': 0.3326724844346584},0.5934
88,{'lr': 0.3060361796915775},0.8094666666666667
89,{'lr': 0.42866297452485824},0.5827666666666667
90,{'lr': 0.31119130058538014},0.8019333333333334
91,{'lr': 0.19146157615402237},0.8099
92,{'lr': 0.35860231521820896},0.5810333333333334
93,{'lr': 0.4756092523966409},0.5720333333333333
94,{'lr': 0.3261618393425928},0.8254666666666667
95,{'lr': 0.11037289440278493},0.7751333333333333
96,{'lr': 0.41079277986003526},0.3133666666666666
97,{'lr': 0.47271071551754984},0.34793333333333337
98,{'lr': 0.3095378675172683},0.8301666666666666
99,{'lr': 0.31409478583073297},0.8197
100,{'lr': 0.48589559574553026},0.34653333333333336
101,{'lr': 0.27906946752832845},0.8264333333333335
102,{'lr': 0.3429302134326381},0.7986000000000001
103,{'lr': 0.40932415037076175},0.8121333333333333
104,{'lr': 0.4809532572269499},0.10000000000000002
105,{'lr': 0.42646650627578325},0.7727666666666666
106,{'lr': 0.4507396647976347},0.3457333333333334
107,{'lr': 0.3354580183878565},0.8136666666666666
108,{'lr': 0.34775366267716623},0.8112333333333334
109,{'lr': 0.2971539343716956},0.8253333333333334
110,{'lr': 0.49030776208486865},0.10000000000000002
111,{'lr': 0.33802591533760157},0.8287333333333332
112,{'lr': 0.07937738218421653},0.7492000000000001
113,{'lr': 0.4667952479638342},0.5846333333333332
114,{'lr': 0.2594942239799031},0.8293
115,{'lr': 0.5581650059992214},0.10000000000000002
116,{'lr': 0.2675963986488672},0.8051666666666666
117,{'lr': 0.30642894631363415},0.8232333333333334
118,{'lr': 0.3797814590493751},0.8113
119,{'lr': 0.3923105008843366},0.5612666666666667
120,{'lr': 0.2304324456644743},0.7955
