number_iter,hyper_parameters,test_accuracy
1,"{'batch_size': 759, 'lr': 0.0119033203125}",0.8423
2,"{'batch_size': 886, 'lr': 0.026091796875}",0.8385
3,"{'batch_size': 534, 'lr': 0.024392578124999998}",0.8485
4,"{'batch_size': 830, 'lr': 0.015075195312499998}",0.8722
5,"{'batch_size': 536, 'lr': 0.01198828125}",0.8595
6,"{'batch_size': 847, 'lr': 0.013574218749999999}",0.8736
7,"{'batch_size': 747, 'lr': 0.02603515625}",0.8252
8,"{'batch_size': 832, 'lr': 0.015216796874999997}",0.8574
9,"{'batch_size': 744, 'lr': 0.013659179687499998}",0.8762
10,"{'batch_size': 744, 'lr': 0.013659179687499998}",0.8738
11,"{'batch_size': 842, 'lr': 0.013517578124999999}",0.8638
12,"{'batch_size': 828, 'lr': 0.015046874999999998}",0.8669
