number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.008482053365276833},0.22656666666666667
2,{'lr': 0.03524633601820825},0.7151666666666667
3,{'lr': 0.030921110624758066},0.7262333333333334
4,{'lr': 0.010654770881991037},0.3713333333333333
5,{'lr': 0.03257911489572311},0.7256
6,{'lr': 0.02155994329957725},0.6868
7,{'lr': 0.0024746541335389314},0.10000000000000002
8,{'lr': 0.03244486862009482},0.6983
9,{'lr': 0.021069095184805823},0.6717
10,{'lr': 0.0051004137974144746},0.16963333333333333
11,{'lr': 0.026804758265016028},0.7138
12,{'lr': 0.04770168323473495},0.7505333333333333
13,{'lr': 0.05},0.7356333333333334
14,{'lr': 0.05},0.7458999999999999
15,{'lr': 0.05},0.7409333333333333
16,{'lr': 0.05},0.7367333333333334
17,{'lr': 0.05},0.7436999999999999
18,{'lr': 0.05},0.7458666666666667
19,{'lr': 0.05},0.7471333333333333
20,{'lr': 0.05},0.7523
21,{'lr': 0.05},0.7538999999999999
22,{'lr': 0.05},0.7472333333333333
23,{'lr': 0.05},0.7440666666666668
24,{'lr': 0.05},0.7545333333333334
25,{'lr': 0.05},0.7407666666666667
26,{'lr': 0.05},0.7414000000000001
27,{'lr': 0.05},0.7425333333333333
28,{'lr': 0.05},0.7506333333333334
29,{'lr': 0.05},0.7416999999999999
30,{'lr': 0.05},0.7444333333333333
31,{'lr': 0.05},0.7406
32,{'lr': 0.05},0.7437999999999999
33,{'lr': 0.05},0.7505666666666667
34,{'lr': 0.05},0.7399
35,{'lr': 0.05},0.7343333333333333
36,{'lr': 0.05},0.7430333333333333
37,{'lr': 0.05},0.7467
38,{'lr': 0.05},0.7427999999999999
39,{'lr': 0.05},0.7441666666666666
40,{'lr': 0.05},0.7320333333333333
41,{'lr': 0.05},0.7434
42,{'lr': 0.05},0.7459333333333333
43,{'lr': 0.05},0.7497666666666666
44,{'lr': 0.05},0.7503666666666667
45,{'lr': 0.05},0.7453666666666666
46,{'lr': 0.05},0.7392666666666666
47,{'lr': 0.05},0.7389
48,{'lr': 0.05},0.7320333333333333
49,{'lr': 0.05},0.7402333333333333
50,{'lr': 0.05},0.7446666666666667
51,{'lr': 0.05},0.7213333333333334
52,{'lr': 0.05},0.7526
53,{'lr': 0.05},0.7556666666666666
54,{'lr': 0.05},0.7517666666666666
55,{'lr': 0.05},0.7509333333333333
56,{'lr': 0.05},0.7432
57,{'lr': 0.05},0.7372333333333333
58,{'lr': 0.05},0.7503333333333333
59,{'lr': 0.05},0.7505999999999999
60,{'lr': 0.05},0.747
61,{'lr': 0.05},0.7408000000000001
62,{'lr': 0.05},0.7374
63,{'lr': 0.05},0.7314666666666666
64,{'lr': 0.05},0.7459666666666666
65,{'lr': 0.05},0.7502333333333334
66,{'lr': 0.05},0.7437333333333335
67,{'lr': 0.05},0.7376
68,{'lr': 0.05},0.7381333333333334
69,{'lr': 0.05},0.7406666666666667
70,{'lr': 0.05},0.7447666666666667
71,{'lr': 0.05},0.7317666666666667
72,{'lr': 0.05},0.7452
